evento,numero di run,numero di evento,giorno,mese,anno,ora,minuti,secondi,miliardesimi di secondo,pT 0,eta 0,phi 0,pT 1,eta 1,phi 1,pT 2,eta 2,phi 2,pT nu,phi nu,NN,prob,differenza numero di run
238,299144,184276618,14,5,2016,5,52,1,663954150,77.9328,0.104949,0.468706,136.488,0.532323,0.924421,176.484,0.652228,-2.55945,40.0526,0.497719,0.346281,0.346281,177.0
239,299184,1016442622,15,5,2016,6,4,44,507016225,160.492,0.272504,0.138177,21.3715,2.41835,-0.314424,114.166,-0.244206,-2.72924,90.565,2.86627,2.40075e-05,2.40075e-05,40.0
305,299584,2293168367,20,5,2016,21,32,9,273624850,44.6816,2.03816,2.99351,136.037,2.05063,-3.08412,95.1348,0.687629,-0.720802,84.4949,0.268066,0.159682,0.159682,400.0
306,299584,3997337219,21,5,2016,14,31,2,862332575,17.9185,-0.440379,-0.192671,19.5186,-0.363325,-3.03075,48.9392,0.308496,2.625,42.791,-0.419057,0.31135,0.31135,0.0
101,300487,724906592,30,5,2016,2,0,56,694803610,73.2949,-0.734785,-1.66518,53.3598,-1.61958,0.327125,87.9562,-0.281928,1.5133,34.0581,-1.99344,0.000704349,0.000704349,903.0
102,300487,707225321,30,5,2016,1,55,9,65069190,52.5725,1.40609,1.20915,57.1402,1.91167,2.11037,80.6893,1.0299,-0.966273,45.9526,-2.46899,0.402705,0.402705,0.0
103,300487,1167179966,30,5,2016,4,18,37,221698995,155.653,-0.752531,3.05927,225.77,-0.721071,0.381342,31.6112,1.84983,-1.52658,68.1189,1.24099,1.12638e-09,1.12638e-09,0.0
266,300571,420959499,31,5,2016,9,45,19,961099355,66.9723,-0.558264,0.255084,22.0925,-0.0989033,-0.231289,55.5467,-0.517017,-0.465724,43.0335,-0.254292,0.204081,0.204081,84.0
267,300571,1053207242,31,5,2016,12,45,42,441549165,17.2164,0.479824,-1.94709,107.601,0.565962,-1.394,79.5873,-0.466821,2.08823,39.6274,1.48334,0.480879,0.480879,0.0
268,300571,1125303762,31,5,2016,13,6,6,16048285,18.8046,-0.793919,2.73767,29.106,-0.643178,0.857849,184.469,-1.82789,-1.73114,53.5073,-1.63961,0.195425,0.195425,0.0
269,300571,1004048800,31,5,2016,12,29,25,390706655,79.6879,-2.17758,-1.50842,54.2439,-2.02535,-2.59,21.1008,-1.72848,-2.97644,91.9715,-1.92007,0.165449,0.165449,0.0
270,300655,302029756,1,6,2016,18,43,2,48979230,82.5457,1.65807,1.01449,89.9848,0.189371,-0.411703,56.7726,-1.14115,1.19321,43.1548,-1.34778,1.5238e-06,1.5238e-06,84.0
271,300655,1317940510,2,6,2016,0,8,22,521693480,104.367,-0.632505,1.96605,45.6379,0.640399,3.03034,76.1955,1.46779,-1.347,48.8813,-0.221963,0.000907898,0.000907898,0.0
272,300655,1879366706,2,6,2016,3,15,57,983150825,22.4944,-0.709208,2.69802,19.8798,-1.40531,1.90334,33.8315,0.4001,1.02318,68.5518,-1.38952,0.462857,0.462857,0.0
29,300687,196818954,2,6,2016,12,17,36,347421985,23.1933,2.3358,2.65673,64.1447,2.21723,-2.04421,37.0061,0.970511,0.73849,31.0515,0.967887,0.251737,0.251737,32.0
30,300687,206257464,2,6,2016,12,20,24,125436745,40.7399,-1.37563,0.340923,20.1637,-1.73016,-2.31368,68.8964,-2.48468,-2.63459,46.4751,0.751886,0.163448,0.163448,0.0
298,300687,2298625105,2,6,2016,22,42,9,416451770,41.4122,-0.27135,0.416233,16.8569,0.18475,2.54059,15.8733,1.14293,2.37174,34.8999,-1.94355,0.409758,0.409758,0.0
299,300687,3290598282,3,6,2016,3,55,27,153126905,85.5073,1.36555,-0.246345,63.6162,1.66259,3.11079,33.2125,-2.4721,2.20567,39.8707,-0.871313,4.01431e-06,4.01431e-06,0.0
144,300800,867135059,4,6,2016,1,36,7,896864390,17.0506,-1.15768,1.3524,71.6795,-0.82554,2.29733,33.4788,1.64885,1.35643,131.02,1.89861,0.210485,0.210485,113.0
145,300800,1520220467,4,6,2016,5,15,34,382277495,93.5574,-2.12144,-0.742028,19.1795,-0.955509,-1.81435,34.9414,-0.566558,1.99773,72.1008,2.40352,0.158468,0.158468,0.0
146,300800,1668565562,4,6,2016,6,7,34,721181885,15.3508,2.21152,2.36571,66.4397,1.34111,-1.84661,27.7933,2.26797,-0.495269,62.4455,1.51379,0.327152,0.327152,0.0
295,300800,2251189074,4,6,2016,9,56,27,232620030,47.1443,1.7613,0.769261,210.291,0.695889,-0.979698,131.38,0.603694,-2.43654,34.0546,1.22005,0.000934602,0.000934602,0.0
